"資料集提供機關","資料集名稱","瀏覽次數","下載次數","資料集評分"
"新北市政府人事處","新北市政府105年度專書閱讀推廣成果統計表","106","18",""
"新北市政府人事處","新北市政府「心靈小綠洲講座」辦理情形","109","20",""
"新北市政府人事處","新北市政府「新手爸媽講座」辦理情形","130","22",""
"新北市政府消防局","熱水器遷移更換補助","145","20",""
"新北市政府消防局","新北市各類場所辦理消防安全設備檢修申報期限表","162","25",""
"新北市政府消防局","新北市防火管理執行情形","122","16",""
"新北市政府交通局","新北市機車停車彎資訊","176","34",""
"新北市政府衛生局","106年新北市公費流感抗病毒藥劑合約醫療院所(類流感門診)","174","57",""
"新北市政府衛生局","新北市母嬰親善醫療院所 ","149","24",""
"新北市政府衛生局","新北市各區母乳支持團體","163","38",""
"新北市政府衛生局","新北市依法應設哺集乳室","156","30",""
"新北市政府衛生局","非海洛因醫療戒癮門診資訊","144","29",""
"新北市政府衛生局","新北市醫院名冊","342","106",""
"新北市政府衛生局","105年度瑞齡學堂服務單位","159","18",""
"新北市政府衛生局","新北市社區安寧服務單位","153","26",""
"新北市政府衛生局","新北市巡迴復健車時刻表","171","32",""
"新北市政府衛生局","105年新北市各項長照服務提供單位","150","26",""
"新北市政府衛生局","新北市失智症相關資源轉介窗口","145","27",""
"臺灣宜蘭地方法院","臺灣宜蘭地方法院105年度11月份會計月報","104","11",""
"國防部參謀本部","國防部所屬公款補(捐)助團體情形季報表","152","106",""
"土銀保險經紀人股份有限公司","土銀保經公司組織架構","113","19",""
"土銀保險經紀人股份有限公司","土銀保經公司經營政策","106","17",""
"土銀保險經紀人股份有限公司","土銀保經公司董事會","126","25",""
"土銀保險經紀人股份有限公司","土銀保經公司持有股份前十大股東","123","16",""
"土銀保險經紀人股份有限公司","土銀保經公司實務上死亡給付及確定年金給付依實質課稅原則核課遺產稅案例及其參考特徵","135","12",""
"交通部中央氣象局","海溫統計-臺灣海域各地海溫觀測月統計","138","12",""
"新北市政府衛生局","新北市健保特約藥局","176","28",""
"新北市政府衛生局","新北市結核菌素測驗服務單位","145","39",""
"勞動部勞動及職業安全衛生研究所","職業安全衛生重要研究成果績效集","165","45",""
"勞動部勞動及職業安全衛生研究所","專利技術網","179","59",""
"勞動部勞動及職業安全衛生研究所","安全資料表資料庫","336","130","5.0"
"勞動部勞動及職業安全衛生研究所","生物偵測分析方法","131","41",""
"勞動部勞動及職業安全衛生研究所","各國顱顏尺寸資料","123","29",""
"勞動部勞動及職業安全衛生研究所","台灣地區靜態二維頭部尺寸資料","143","29",""
"勞動部勞動及職業安全衛生研究所","呼吸防護具用標準頭型","147","27",""
"勞動部勞動及職業安全衛生研究所","電腦工作桌椅尺寸建議值","126","28",""
"勞動部勞動及職業安全衛生研究所","頭盔用標準頭型","216","45",""
"勞動部勞動及職業安全衛生研究所","勞工健康體能常模-身體組成等級表","217","41",""
"勞動部勞動及職業安全衛生研究所","勞工健康體能常模-肌力與肌耐力等級表","286","58",""
"勞動部勞動及職業安全衛生研究所","勞工健康體能常模-頸部活動度等級表","198","40",""
"勞動部勞動及職業安全衛生研究所","勞工健康體能常模-腰部活動度與身體柔軟度等級表","174","24",""
"勞動部勞動及職業安全衛生研究所","勞工健康體能常模-反應、平衡、心肺耐力等級表","191","50",""
"交通部臺灣鐵路管理局","列車行駛次數及行駛公里","131","17",""
"雲林縣政府","106年度附屬單位預算綜計表-營業基金機關別盈虧撥補綜計表","108","5",""
"科技部","科技部科學工業園區用水量","160","32",""
"科技部","科技部科學工業園區污水處理量","112","9",""
"科技部中部科學工業園區管理局","中部科學工業園區管理局簡訊","131","15",""
"雲林縣政府","106年雲林縣總預算審議書","127","11",""
"行政院農業委員會","省產木材副產品調查比較","137","20",""
"科技部中部科學工業園區管理局","中部科學工業園區管理局人才培訓課程","119","7",""
"科技部中部科學工業園區管理局","中部科學工業園區管理局優良廠商創新產品獎得獎資料","140","7",""
"科技部中部科學工業園區管理局","中部科學工業園區管理局高科技設備前瞻技術補助對象資料","129","5",""
"科技部中部科學工業園區管理局","中部科學工業園區管理局參訪統計表(年度)","102","4",""
"科技部中部科學工業園區管理局","中部科學工業園區管理局輿情回應統計","127","8",""
"科技部中部科學工業園區管理局","中部科學工業園區管理局園區巡迴巴士","111","9",""
"科技部中部科學工業園區管理局","中部科學工業園區管理局土地規劃情形表","103","8",""
"行政院農業委員會","省產木材副產品波動價差","126","14",""
"科技部中部科學工業園區管理局","中部科學工業園區管理局工安環保月-各項球賽得獎名單","122","4",""
"科技部中部科學工業園區管理局","中部科學工業園區管理局性別與外籍員工統計","124","12",""
"科技部中部科學工業園區管理局","中部科學工業園區管理局從業員工產業別統計","123","12",""
"科技部中部科學工業園區管理局","中部科學工業園區管理局會議室租借資訊","112","5",""
"科技部中部科學工業園區管理局","中部科學工業園區管理局各園區聯絡資訊","148","9",""
"科技部中部科學工業園區管理局","中部科學工業園區管理局公開採購計畫資料集","124","6",""
"行政院農業委員會","進口闊葉原木波動價差","157","25",""
"科技部中部科學工業園區管理局","中部科學工業園區管理局產業營業額成長情形比較表","124","14",""
"行政院農業委員會","木材市價月分別報告表","151","14",""
"科技部中部科學工業園區管理局","中部科學工業園區管理局出版品清單","110","8",""
"科技部中部科學工業園區管理局","中部科學工業園區管理局辦理國家賠償事件處理情形統計表","123","6",""
"行政院農業委員會","木材市價單一樹種報表","150","26",""
"國防部參謀本部","陸軍國防展演照片集","131","17",""
"國防部參謀本部","陸軍營區開放照片集","123","16",""
"國防部參謀本部","陸軍救災紀實照片集","106","16",""
"國防部參謀本部","陸軍採購人員訓練計畫","138","13",""
"國防部參謀本部","陸軍後勤職類（技勤官科）本職學能鑑測","233","35",""
"國防部參謀本部","陸軍國公有財產管理","108","15",""
"國防部參謀本部","陸軍軍事學校招生簡章","112","18",""
"國防部參謀本部","陸軍學術雙月刊","358","45",""
"國防部參謀本部","陸軍後勤季刊","214","20",""
"國防部參謀本部","陸軍步兵季刊","152","28",""
"國防部參謀本部","陸軍裝甲兵季刊","123","13",""
"國防部參謀本部","陸軍工兵半年刊","128","17",""
"國防部參謀本部","陸軍通資半年刊","116","11",""
"國防部參謀本部","陸軍核生化防護半年刊","133","18",""
"國防部參謀本部","陸軍航空暨特戰部隊半年刊","144","25","2.0"
"行政院農業委員會","105年度農科園區衛星農場補助","149","10",""
"行政院農業委員會","104年度農科園區園區事業研究發展補助計畫","144","40",""
"行政院農業委員會","漁船歷年進出港紀錄","179","12",""
"雲林縣政府","106年度附屬單位預算綜計表-營業基金機關別損益表","115","7",""
"雲林縣政府","106年度附屬單位預算綜計表-作業基金收支餘絀表","115","5",""
"科技部南部科學工業園區管理局","南部科學工業園區管理局來賓統計資料","121","6",""
"科技部南部科學工業園區管理局","南部科學工業園區管理局廠商資料","166","43",""
"中國輸出入銀行","中國輸出入銀行監察人名單","92","15",""
"科技部南部科學工業園區管理局","南部科學工業園區管理局每月新核准投資廠商","120","10",""
"科技部南部科學工業園區管理局","南部科學工業園區管理局職業災害統計表","225","34",""
"科技部南部科學工業園區管理局","南部科學工業園區管理局南科盃敦親睦鄰球賽之各項球賽得獎名單","124","3",""
"科技部南部科學工業園區管理局","南部科學工業園區管理局園區電影活動統計資料	","101","3",""
"行政院農業委員會","航測相機參數檔","116","16",""
"行政院農業委員會","DMC航空攝影記錄及影像分布檔","109","13",""
"行政院農業委員會","ADS航空攝影記錄及影像分布檔","113","14",""
"桃園市政府青年事務局","桃園市105年補助辦理青年職涯發展及創業主題活動計畫","133","9",""
"桃園市政府青年事務局","桃園市105年度青年創業貸款創業輔導課程費用補貼計畫","229","20",""
"桃園市政府青年事務局","桃園市105年度青年創業貸款利息補貼計畫","123","6",""
"桃園市政府青年事務局","桃園市政府青年事務局  青創指揮部介紹","158","11",""
"臺中市政府主計處‧第三科","106年度臺中市地方總預算案","106","17",""
"臺中市政府主計處‧第三科","105年度臺中市地方總預算第2次追加(減)預算 ","84","14",""
"臺中市政府主計處‧第三科","105年度臺中市地方總預算第2次追加(減)預算案","87","17",""
"臺中市政府消防局","臺中市政府消防局105年度上半年物資捐贈及現金捐款芳名冊","89","12",""
"雲林縣政府","106年雲林縣總預算-歲入歲出簡明比較分析表","117","5",""
"雲林縣政府","106年雲林縣總預算-歲入歲出性質及餘絀簡明比較分析表","120","5",""
"雲林縣政府","106年雲林縣總預算-收支簡明比較分析表","131","8",""
"雲林縣政府","106年雲林縣總預算-歲入來源別預算總表","119","3",""
"雲林縣政府","106年雲林縣總預算-歲入來源別預算比較總表","122","5",""
"雲林縣政府","106年雲林縣總預算-歲出政事別預算總表","113","5",""
"雲林縣政府","106年雲林縣總預算-歲出政事別預算比較總表","124","4",""
"雲林縣政府","106年雲林縣總預算-歲出機關別預算總表","120","6",""
"雲林縣政府","106年雲林縣總預算-歲出機關別預算比較總表","123","8",""
"雲林縣政府","106年雲林縣總預算-歲入來源別預算提要表","115","4",""
"雲林縣政府","106年雲林縣總預算-歲入來源別預算表","116","9",""
"雲林縣政府","106年雲林縣總預算-歲入來源別預算提要表-資本","105","6",""
"雲林縣政府","106年雲林縣總預算-歲入來源別預算表-資本","121","5",""
"雲林縣政府","106年雲林縣總預算-歲出政事別預算提要表","136","4",""
"雲林縣政府","106年雲林縣總預算-歲出政事別預算表","131","4",""
"雲林縣政府","106年雲林縣總預算-歲出政事別預算提要表-資本","118","4",""
"雲林縣政府","106年雲林縣總預算-歲出政事別預算表-資本","125","6",""
"雲林縣政府","106年雲林縣總預算-歲出機關別預算表","150","9",""
"雲林縣政府","106年雲林縣總預算-各機關歲入來源別科目分析總表","126","6",""
"雲林縣政府","106年雲林縣總預算-各機關歲出政事別科目分析總表","134","5",""
"雲林縣政府","106年雲林縣總預算-各機關歲出用途別科目分析總表","124","5",""
"雲林縣政府","106年雲林縣總預算-各機關資本支出分析總表","124","8",""
"雲林縣政府","106年雲林縣總預算-歲出人事費彙計表","120","7",""
"雲林縣政府","106年雲林縣總預算-員工總表","122","5",""
"雲林縣政府","106年雲林縣總預算-約聘僱人員費用彙計表","122","2",""
"雲林縣政府","106年雲林縣總預算-補助及捐助經費總表","123","7",""
"雲林縣政府","106年雲林縣總預算-歲出按職能及經濟性綜合分類表","117","2",""
"雲林縣政府","106年雲林縣總預算總說明","113","5",""
"嘉義縣竹崎地政事務所","嘉義縣竹崎地政事務所-公告資訊-最新消息","127","15",""
"嘉義縣竹崎地政事務所","嘉義縣竹崎地政事務所-公告資訊-法規新訊","125","10",""
"嘉義縣竹崎地政事務所","嘉義縣竹崎地政事務所-公告資訊-廉政宣導","110","10",""
"嘉義縣竹崎地政事務所","嘉義縣竹崎地政事務所-公告資訊-機關公告-書狀補給、建物及土地第一次登記公告","105","12",""
"嘉義縣竹崎地政事務所","嘉義縣竹崎地政事務所-公告資訊-機關公告-土地建物第一次公告","101","12",""
"嘉義縣竹崎地政事務所","嘉義縣竹崎地政事務所-公告資訊-地政輿情","105","12",""
"嘉義縣竹崎地政事務所","嘉義縣竹崎地政事務所-公告資訊-招標公告","109","9",""
"嘉義縣竹崎地政事務所","嘉義縣竹崎地政事務所-公告資訊-機關徵才","122","9",""
"嘉義縣竹崎地政事務所","嘉義縣竹崎地政事務所-公告資訊-youtube影片專區","104","12",""
"嘉義縣竹崎地政事務所","嘉義縣竹崎地政事務所-公告資訊-活動花絮","120","9",""
"嘉義縣竹崎地政事務所","嘉義縣竹崎地政事務所-便民服務-地用教室(舊)-編訂管制業務政令宣導","146","9",""
"嘉義縣竹崎地政事務所","嘉義縣竹崎地政事務所-便民服務-志工園地-志願服務相關法規","133","15",""
"嘉義縣竹崎地政事務所","嘉義縣竹崎地政事務所-便民服務-志工園地-志願服務相關連結網站","112","9",""
"嘉義縣竹崎地政事務所","嘉義縣竹崎地政事務所-便民服務-志工園地-本所志工志願服務園地","113","12",""
"嘉義縣竹崎地政事務所","嘉義縣竹崎地政事務所-便民服務-檔案應用-檔案相關法規","102","9",""
"嘉義縣竹崎地政事務所","嘉義縣竹崎地政事務所-便民服務-檔案應用-檔案相關連結網站","112","9",""
"嘉義縣竹崎地政事務所","嘉義縣竹崎地政事務所-便民服務-友好網站","147","9",""
"嘉義縣竹崎地政事務所","嘉義縣竹崎地政事務所-民意交流-常見問答-民眾意見回覆總覽","101","11",""
"嘉義縣竹崎地政事務所","嘉義縣竹崎地政事務所-政府公開資訊-解釋性規定及裁量基準(主動公開資訊)","100","10",""
"嘉義縣竹崎地政事務所","嘉義縣竹崎地政事務所-員工專區-人事專區-表單下載","96","9",""
"嘉義縣竹崎地政事務所","嘉義縣竹崎地政事務所-員工專區-人事專區-公告訊息","105","12",""
"嘉義縣竹崎地政事務所","嘉義縣竹崎地政事務所-員工專區-主計公佈欄","111","9",""
"嘉義縣竹崎地政事務所","嘉義縣竹崎地政事務所-便民服務-表單下載-常用表單下載","102","10",""
"嘉義縣竹崎地政事務所","嘉義縣竹崎地政事務所-便民服務-友善連結","103","9",""
"嘉義縣竹崎地政事務所","嘉義縣竹崎地政事務所-線上申辦","103","15",""
"嘉義縣竹崎地政事務所","嘉義縣竹崎地政事務所-便民服務-檔案應用-檔案應用申請","134","9",""
"嘉義縣竹崎地政事務所","嘉義縣竹崎地政事務所-政府公開資訊-中央法規及地方自治法規","106","15",""
"嘉義縣竹崎地政事務所","嘉義縣竹崎地政事務所- 解釋性規定及裁量基準(主動公開資訊)","111","9",""
"嘉義縣竹崎地政事務所","嘉義縣竹崎地政事務所-政府公開資訊-組織職掌及聯絡","101","9",""
"嘉義縣竹崎地政事務所","嘉義縣竹崎地政事務所-政府公開資訊-行政指導文書","129","9",""
"嘉義縣竹崎地政事務所","嘉義縣竹崎地政事務所-政府公開資訊-施政計畫及業務統計","106","9",""
"嘉義縣竹崎地政事務所","嘉義縣竹崎地政事務所-政府公開資訊-預算與決算書","102","14",""
"嘉義縣竹崎地政事務所","嘉義縣竹崎地政事務所-政府公開資訊-個資保護專區","114","12",""
"嘉義縣竹崎地政事務所","嘉義縣竹崎地政事務所-政府公開資訊-請願處理結果與訴願決定","131","11",""
"嘉義縣竹崎地政事務所","嘉義縣竹崎地政事務所-政府公開資訊-公共工程與採購契約","98","11",""
"嘉義縣竹崎地政事務所","嘉義縣竹崎地政事務所-政府公開資訊-支付或接受補助","109","12",""
"嘉義縣竹崎地政事務所","嘉義縣竹崎地政事務所-政府公開資訊-合議制機關會議紀錄","103","9",""
"嘉義縣竹崎地政事務所","嘉義縣竹崎地政事務所-政府公開資訊-為民服務白皮書","109","9",""
"嘉義縣竹崎地政事務所","嘉義縣竹崎地政事務所-公告資訊-機關公告-地籍清理公告","119","9",""
"嘉義縣民雄戶政事務所","嘉義縣民雄戶政事務所-首頁快捷服務","125","12",""
"嘉義縣民雄戶政事務所","嘉義縣民雄戶政事務所-首頁友站連結","118","6",""
"嘉義縣民雄戶政事務所","嘉義縣民雄戶政事務所-申辦項目","127","10",""
"嘉義縣民雄戶政事務所","嘉義縣民雄戶政事務所-便民服務-活動文宣","109","9",""
"嘉義縣民雄戶政事務所","嘉義縣民雄戶政事務所-便民服務-QRcode服務專區","125","9",""
"嘉義縣民雄戶政事務所","嘉義縣民雄戶政事務所-便民服務-表單下載","131","8",""
"嘉義縣民雄戶政事務所","嘉義縣民雄戶政事務所-便民服務-檔案應用服務-閱覽申請書","133","12",""
"嘉義縣民雄戶政事務所","嘉義縣民雄戶政事務所-便民服務-檔案應用服務-閱覽抄錄複製作業流程","101","9",""
"嘉義縣民雄戶政事務所","嘉義縣民雄戶政事務所-人口統計-村里鄰人口數-民雄鄉村里鄰人口數","152","27",""
"嘉義縣民雄戶政事務所","嘉義縣民雄戶政事務所-人口統計-戶籍登記人口數-民雄鄉戶籍登記人口數","177","18",""
"嘉義縣民雄戶政事務所","嘉義縣民雄戶政事務所-人口統計-性別年齡層人口數-民雄鄉性別年齡層人口數","157","17",""
"嘉義縣民雄戶政事務所","嘉義縣民雄戶政事務所-人口統計-原住民人口數-民雄鄉原住民人口數","140","16",""
"嘉義縣民雄戶政事務所","嘉義縣民雄戶政事務所-人口統計-性別、年齡及教育程度統計-民雄鄉性別、年齡及教育程度統計","108","14",""
"嘉義縣民雄戶政事務所","嘉義縣民雄戶政事務所-公佈欄-最新消息","99","10",""
"嘉義縣民雄戶政事務所","嘉義縣民雄戶政事務所-公佈欄-影片專區","126","9",""
"嘉義縣民雄戶政事務所","嘉義縣民雄戶政事務所-公佈欄-活動訊息","99","9",""
"嘉義縣民雄戶政事務所","嘉義縣民雄戶政事務所-公佈欄-活動花絮","121","9",""
"嘉義縣民雄戶政事務所","嘉義縣民雄戶政事務所-公佈欄-戶政新聞","120","11",""
"嘉義縣民雄戶政事務所","嘉義縣民雄戶政事務所-法令規章-案例分享","119","4",""
"嘉義縣民雄戶政事務所","嘉義縣民雄戶政事務所-法令規章-志工園地","129","12",""
"嘉義縣民雄戶政事務所","嘉義縣民雄戶政事務所-法令規章-志工服務相關法規","129","8",""
"嘉義縣民雄戶政事務所","嘉義縣民雄戶政事務所-國籍專區-國籍專區","112","9",""
"嘉義縣民雄戶政事務所","嘉義縣民雄戶政事務所-國籍專區-國籍相關法規","136","9",""
"嘉義縣民雄戶政事務所","嘉義縣民雄戶政事務所-政府公開資訊-中央法規及地方自治法規","134","9",""
"嘉義縣民雄戶政事務所","嘉義縣民雄戶政事務所-政府公開資訊-解釋性規定及裁量基準","118","15",""
"嘉義縣民雄戶政事務所","嘉義縣民雄戶政事務所-政府公開資訊-組織職掌與聯絡","128","15",""
"嘉義縣民雄戶政事務所","嘉義縣民雄戶政事務所-政府公開資訊-施政計劃與業務統計","108","9",""
"嘉義縣民雄戶政事務所","嘉義縣民雄戶政事務所-政府公開資訊-行政指導文書","103","10",""
"嘉義縣民雄戶政事務所","嘉義縣民雄戶政事務所-政府公開資訊-預算及決算書","112","12",""
"嘉義縣民雄戶政事務所","嘉義縣民雄戶政事務所-政府公開資訊-公共工程及採購契約","102","11",""
"嘉義縣民雄戶政事務所","嘉義縣民雄戶政事務所-政府公開資訊-請願處理及訴願決定","110","9",""
"嘉義縣民雄戶政事務所","嘉義縣民雄戶政事務所-政府公開資訊-支付或接受補助","103","9",""
"嘉義縣民雄戶政事務所","嘉義縣民雄戶政事務所-政府公開資訊-合議制機關會議紀錄","112","12",""
"嘉義縣民雄戶政事務所","嘉義縣民雄戶政事務所-民意交流-常見問答","115","12",""
"嘉義縣民雄戶政事務所","嘉義縣民雄戶政事務所-民意交流-民眾陳情(抱怨)處理","111","16",""
"嘉義縣民雄戶政事務所","嘉義縣民雄戶政事務所-網站連結-嘉義縣戶政事務所","115","9",""
"嘉義縣民雄戶政事務所","嘉義縣民雄戶政事務所-網站連結-嘉義縣鄉鎮市公所","118","9",""
"嘉義縣民雄戶政事務所","嘉義縣民雄戶政事務所-網站連結-嘉義縣政府所屬機關","119","9",""
"嘉義縣民雄戶政事務所","嘉義縣民雄戶政事務所-網站連結-嘉義縣學校相關","105","9",""
"嘉義縣民雄戶政事務所","嘉義縣民雄戶政事務所-人口統計-村里鄰人口數-大林鎮村里鄰人口數","149","11",""
"嘉義縣民雄戶政事務所","嘉義縣民雄戶政事務所-人口統計-村里鄰人口數-溪口鄉村里鄰人口數","110","8",""
"嘉義縣民雄戶政事務所","嘉義縣民雄戶政事務所-人口統計-村里鄰人口數-新港鄉村里鄰人口數","115","10",""
"嘉義縣民雄戶政事務所","嘉義縣民雄戶政事務所-人口統計-戶籍登記人口數-大林鎮戶籍登記人口數","159","12",""
"嘉義縣民雄戶政事務所","嘉義縣民雄戶政事務所-人口統計-戶籍登記人口數-溪口鄉戶籍登記人口數","136","9",""
"嘉義縣民雄戶政事務所","嘉義縣民雄戶政事務所-人口統計-戶籍登記人口數-新港鄉戶籍登記人口數","148","10",""
"嘉義縣民雄戶政事務所","嘉義縣民雄戶政事務所-人口統計-性別年齡層人口數-大林鎮性別年齡層人口數","146","9",""
"嘉義縣民雄戶政事務所","嘉義縣民雄戶政事務所-人口統計-性別年齡層人口數-溪口鄉性別年齡層人口數","112","9",""
"嘉義縣民雄戶政事務所","嘉義縣民雄戶政事務所-人口統計-性別年齡層人口數-新港鄉性別年齡層人口數","119","9",""
"嘉義縣民雄戶政事務所","嘉義縣民雄戶政事務所-人口統計-原住民人口數-大林鎮原住民人口數","138","8",""
"嘉義縣民雄戶政事務所","嘉義縣民雄戶政事務所-人口統計-原住民人口數-溪口鄉原住民人口數","106","15",""
"嘉義縣民雄戶政事務所","嘉義縣民雄戶政事務所-人口統計-原住民人口數-新港鄉原住民人口數","122","12",""
"嘉義縣民雄戶政事務所","嘉義縣民雄戶政事務所-人口統計-性別、年齡及教育程度統計-大林鎮性別、年齡及教育程度統計","141","14",""
"嘉義縣民雄戶政事務所","嘉義縣民雄戶政事務所-人口統計-性別、年齡及教育程度統計-溪口鄉性別、年齡及教育程度統計","114","10",""
"嘉義縣民雄戶政事務所","嘉義縣民雄戶政事務所-人口統計-性別、年齡及教育程度統計-新港鄉性別、年齡及教育程度統計","108","9",""
"嘉義縣大林地政事務所","嘉義縣大林地政事務所-公告資訊-最新消息","171","24",""
"嘉義縣大林地政事務所","嘉義縣大林地政事務所-公告資訊-法規新訊","127","14",""
"嘉義縣大林地政事務所","嘉義縣大林地政事務所-公告資訊-機關公告-書狀補給案件公告","131","22",""
"嘉義縣大林地政事務所","嘉義縣大林地政事務所-公告資訊-機關公告-建物第一次登記公告","123","15",""
"嘉義縣大林地政事務所","嘉義縣大林地政事務所-公告資訊-機關公告-土地第一次登記公告","121","13",""
"嘉義縣大林地政事務所","嘉義縣大林地政事務所-公告資訊-招標公告","112","9",""
"嘉義縣大林地政事務所","嘉義縣大林地政事務所-公告資訊-機關徵才","110","9",""
"嘉義縣大林地政事務所","嘉義縣大林地政事務所-公告資訊-youtube影片專區","107","10",""
"嘉義縣大林地政事務所","嘉義縣大林地政事務所-公告資訊-活動花絮","114","9",""
"嘉義縣大林地政事務所","嘉義縣大林地政事務所-便民服務-政策專區-未辦繼承專區","116","9",""
"嘉義縣大林地政事務所","嘉義縣大林地政事務所-便民服務-友善連結","111","9",""
"嘉義縣大林地政事務所","嘉義縣大林地政事務所-員工專區-人事專區-表單下載","115","11",""
"嘉義縣大林地政事務所","嘉義縣大林地政事務所-員工專區-人事專區-公告訊息","139","9",""
"嘉義縣大林地政事務所","嘉義縣大林地政事務所-員工專區-政風專區-政風宣導","120","9",""
"嘉義縣大林地政事務所","嘉義縣大林地政事務所-便民服務-申辦案件服務-其他表單下載","113","9",""
"嘉義縣朴子地政事務所","嘉義縣朴子地政事務所-公告資訊-最新消息","155","13",""
"嘉義縣朴子地政事務所","嘉義縣朴子地政事務所-公告資訊-機關公告-書狀補給公告","123","10",""
"嘉義縣朴子地政事務所","嘉義縣朴子地政事務所-公告資訊-機關公告-土地建物第一次登記公告","204","16",""
"嘉義縣朴子地政事務所","嘉義縣朴子地政事務所-公告資訊-機關公告-地籍清理公告","156","13",""
"嘉義縣朴子地政事務所","嘉義縣朴子地政事務所-公告資訊-機關公告-逾期未辦繼承公告","160","12",""
"嘉義縣朴子地政事務所","嘉義縣朴子地政事務所-公告資訊-機關公告-地價公告","122","20",""
"嘉義縣朴子地政事務所","嘉義縣朴子地政事務所-公告資訊-機關公告-其他公告","107","10",""
"嘉義縣朴子地政事務所","嘉義縣朴子地政事務所-公告資訊-廉政宣導","119","10",""
"嘉義縣朴子地政事務所","嘉義縣朴子地政事務所-員工專區-政風業務-宣導資料","114","13",""
"嘉義縣朴子地政事務所","嘉義縣朴子地政事務所-公告資訊-招標公告","129","10",""
"嘉義縣朴子地政事務所","嘉義縣朴子地政事務所-公告資訊-機關徵才","105","9",""
"嘉義縣朴子地政事務所","嘉義縣朴子地政事務所-公告資訊-WEB2.0專區-Youtube影音","119","9",""
"嘉義縣朴子地政事務所","嘉義縣朴子地政事務所-公告資訊-活動花絮","121","9",""
"嘉義縣朴子地政事務所","嘉義縣朴子地政事務所-國土計畫法專區","117","12",""
"嘉義縣朴子地政事務所","嘉義縣朴子地政事務所-便民服務-登記課業務-三類謄本新制","126","7",""
"嘉義縣朴子地政事務所","嘉義縣朴子地政事務所-便民服務-志工園地-榮譽榜","120","9",""
"嘉義縣朴子地政事務所","嘉義縣朴子地政事務所-便民服務-志工園地-志工活動花絮","109","11",""
"嘉義縣朴子地政事務所","嘉義縣朴子地政事務所-便民服務-友善連結","114","11",""
"嘉義縣朴子地政事務所","嘉義縣朴子地政事務所-民意交流-常見問答-登記類","110","9",""
"嘉義縣朴子地政事務所","嘉義縣朴子地政事務所-民意交流-常見問答-測量類","128","9",""
"嘉義縣朴子地政事務所","嘉義縣朴子地政事務所-民意交流-常見問答-地價類","102","14",""
"嘉義縣朴子地政事務所","嘉義縣朴子地政事務所-民意交流-常見問答-地用類","141","11",""
"嘉義縣朴子地政事務所","嘉義縣朴子地政事務所-民意交流-常見問答-其它類","122","9",""
"嘉義縣朴子地政事務所","嘉義縣朴子地政事務所-人民申請陳情案件","103","11",""
"嘉義縣朴子地政事務所","嘉義縣朴子地政事務所-民意交流-線上問卷-問卷回覆","104","10",""
"嘉義縣朴子地政事務所","嘉義縣朴子地政事務所-政府公開資訊-中央法規及地方自治法規","103","12",""
"嘉義縣朴子地政事務所","嘉義縣朴子地政事務所-政府公開資訊-解釋性規定及裁量基準","112","9",""
"嘉義縣朴子地政事務所","嘉義縣朴子地政事務所-政府公開資訊-行政指導文書","122","12",""
"嘉義縣朴子地政事務所","嘉義縣朴子地政事務所-政府公開資訊-施政計畫及業務統計","117","9",""
"嘉義縣朴子地政事務所","嘉義縣朴子地政事務所-政府公開資訊-預算與決算書","108","9",""
"嘉義縣朴子地政事務所","嘉義縣朴子地政事務所-政府公開資訊-個資保護專區","109","10",""
"嘉義縣朴子地政事務所","嘉義縣朴子地政事務所-政府公開資訊-公共工程與採購契約","102","15",""
"嘉義縣朴子地政事務所","嘉義縣朴子地政事務所-政府公開資訊-支付或接受補助","116","9",""
"嘉義縣朴子地政事務所","嘉義縣朴子地政事務所-政府公開資訊-合議制機關會議紀錄","120","9",""
"嘉義縣朴子地政事務所","嘉義縣朴子地政事務所-政府公開資訊-為民服務白皮書","110","11",""
"嘉義縣朴子地政事務所","嘉義縣朴子地政事務所-員工專區-綜合表單","108","8",""
"嘉義縣朴子地政事務所","嘉義縣朴子地政事務所-便民服務-下載專區-各類申請書及範例","117","12",""
"嘉義縣朴子地政事務所","嘉義縣朴子地政事務所-行政規則","139","12",""
"嘉義縣朴子地政事務所","嘉義縣朴子地政事務所-公告資訊-法規新訊","118","9",""
"嘉義縣朴子地政事務所","嘉義縣朴子地政事務所-便民服務-檔案應用","116","11",""
"嘉義縣朴子地政事務所","嘉義縣朴子地政事務所-便民服務-登記課業務-未辦繼承","103","10",""
"嘉義縣朴子地政事務所","嘉義縣朴子地政事務所-祭祀公業","130","12",""
"嘉義縣朴子地政事務所","嘉義縣朴子地政事務所-測量申請案件申辦須知","121","9",""
"嘉義縣朴子地政事務所","嘉義縣朴子地政事務所-便民服務-測量課業務-地籍圖重測","113","10",""
"嘉義縣朴子地政事務所","嘉義縣朴子地政事務所-便民服務-地價課業務-實價登錄","110","16",""
"嘉義縣朴子地政事務所","嘉義縣朴子地政事務所-便民服務-地價課業務-地價分算","114","10",""
"嘉義縣朴子地政事務所","嘉義縣朴子地政事務所-公告資訊-地政輿情","109","16",""
"嘉義縣朴子地政事務所","嘉義縣朴子地政事務所-便民服務-網網相連","115","9",""
"嘉義縣朴子地政事務所","嘉義縣朴子地政事務所-員工專區-人事業務","109","10",""
"嘉義縣朴子地政事務所","嘉義縣朴子地政事務所-員工專區-政風業務-表單下載","122","9",""
